resultId,frameId,frameName,note,content,responseTime,response,errors
6282c32db4f41367229c40fa,0834f03062e6534d,html,instruction,text,255220,spacebar,0
6282c32db4f41367229c40fa,dfeec01fe4171d42,html,Begin Practice,text,3623,spacebar,0
6282c32db4f41367229c40fa,dd99cd72cc00494e,image,cueDI,cueDI.png,undefined,,0
6282c32db4f41367229c40fa,bcb2a1249ce35b2e,image,fixation,rFixationCross (5).png,undefined,,0
6282c32db4f41367229c40fa,4df8ee5de4393d87,visualsearch,P8N: Green_DI_10NT_NFC_Dark1TandDark1NT,P8N.png,3831,,1
6282c32db4f41367229c40fa,0fa4abdba12e1bd0,image,cueDI,cueDI.png,undefined,,0
6282c32db4f41367229c40fa,6fb4459d33521a90,image,fixation,rFixationCross (1).png,undefined,,0
6282c32db4f41367229c40fa,62102103576ca957,visualsearch,P2N: Cyan_DI_5NT_FC_Dark1TandDark2NT,P2N.png,1914,,1
6282c32db4f41367229c40fa,e499cf0e5c05b18a,image,cueAF,cueAF.png,undefined,,0
6282c32db4f41367229c40fa,6d7fdce6a1177b73,image,fixation,rFixationCross.png,undefined,,0
6282c32db4f41367229c40fa,3d5a9997f0d406dd,visualsearch,P3N: Red_AF_5NT_NFC_Dark2TandDark2NT,P3N.png,1981,,0
6282c32db4f41367229c40fa,bf53d27c97681f70,image,cueAF,cueAF.png,undefined,,0
6282c32db4f41367229c40fa,afdd37719be9c13c,image,fixation,rFixationCross (4).png,undefined,,0
6282c32db4f41367229c40fa,7eac29b342eb670b,visualsearch,P5N: Magenta_AF_10NT_FC_Dark2TandDark1NT,P5N.png,2880,,0
6282c32db4f41367229c40fa,66627488648fead5,image,cueDI,cueDI.png,undefined,,0
6282c32db4f41367229c40fa,2519b230f0aff252,image,fixation,rFixationCross (6).png,undefined,,0
6282c32db4f41367229c40fa,bc6be128f550e3dc,visualsearch,P7N: Red_DI_10NT_NFC_Dark2TandDark2NT,P7N.png,4867,,1
6282c32db4f41367229c40fa,0da4ed50bf57a2ab,image,cueDI,cueDI.png,undefined,,0
6282c32db4f41367229c40fa,89ed3aeee3680882,image,fixation,rFixationCross.png,undefined,,0
6282c32db4f41367229c40fa,53718a2f4859f7d9,visualsearch,P1N: Magenta_DI_5NT_FC_Dark1TandDark2NT,P1N.png,2053,,0
6282c32db4f41367229c40fa,dedf94da8f74303a,image,cueAF,cueAF.png,undefined,,0
6282c32db4f41367229c40fa,676851776a6052e0,image,fixation,rFixationCross (5).png,undefined,,0
6282c32db4f41367229c40fa,c0d1037aef82996e,visualsearch,P6N: Cyan_AF_10NT_FC_Dark1TandDark2NT,P6N.png,3651,,1
6282c32db4f41367229c40fa,004dcccb75ca2103,image,cueAF,cueAF.png,undefined,,0
6282c32db4f41367229c40fa,3cf588b696cbc08e,image,fixation,rFixationCross (3).png,undefined,,0
6282c32db4f41367229c40fa,cc7e270e0aed9b67,visualsearch,P4N: Green_AF_5NT_FC_Dark1TandDark1NT,P4N.png,2583,,0
6282c32db4f41367229c40fa,0dd1e03f4a5c483e,html,Begin Blocks 1 & 2,text,79025,spacebar,0
6282c32db4f41367229c40fa,44dc4b138212a592,image,cueDI,cueDI.png,undefined,,0
6282c32db4f41367229c40fa,cea179753ab43514,image,fixation,rFixationCross.png,undefined,,0
6282c32db4f41367229c40fa,d069c2875045ef9e,visualsearch,10_1,10_1.png,2288,,0
6282c32db4f41367229c40fa,737e09fcba25608a,image,cueDI,cueDI.png,undefined,,0
6282c32db4f41367229c40fa,9532b749e8bba02c,image,fixation,rFixationCross.png,undefined,,0
6282c32db4f41367229c40fa,7c20cf876cc7e8da,visualsearch,12_2,12_2.png,2113,,0
6282c32db4f41367229c40fa,7a06985a607a1cb4,image,cueAF,cueAF.png,undefined,,0
6282c32db4f41367229c40fa,1ed613c2f2924c1f,image,fixation,rFixationCross.png,undefined,,0
6282c32db4f41367229c40fa,7a26cfba13fa78ef,visualsearch,15_1,15_1.png,2798,,0
